item_type,path,size_bytes,apparent_purpose,imported_by,mentioned_in_docs,category,rationale,regenerable,git_tracked,git_ignored
script,scripts/03_modeling/backtest_rush_yds_model.py,5839,Model backtest/simulation,,docs/player_props_model_notes_updated.md,KEEP_REFERENCE,Rushing-yards backtest parity reference.,,,
script,scripts/03_modeling/build_fp_debiased_projection.py,3705,Projection/model construction,,,UNKNOWN_REVIEW_MANUALLY,No safe deletion conclusion from static inventory.,,,
script,scripts/03_modeling/build_market_projection_engine.py,8891,Projection/model construction,,docs/player_props_model_notes_updated.md,KEEP_ACTIVE,Active generalized projection workflow.,,,
script,scripts/03_modeling/build_pass_yds_baseline.py,6770,Projection/model construction,,,UNKNOWN_REVIEW_MANUALLY,No safe deletion conclusion from static inventory.,,,
script,scripts/03_modeling/build_pass_yds_residual_model.py,9572,Projection/model construction,,,UNKNOWN_REVIEW_MANUALLY,No safe deletion conclusion from static inventory.,,,
script,scripts/03_modeling/build_pass_yds_sigma_model.py,3538,Projection/model construction,,,UNKNOWN_REVIEW_MANUALLY,No safe deletion conclusion from static inventory.,,,
script,scripts/03_modeling/build_projection_ensemble_engine.py,6209,Projection/model construction,scripts/03_modeling/build_market_projection_engine.py,docs/player_props_model_notes_updated.md,KEEP_REFERENCE,Passing-yards parity reference and imported implementation.,,,
script,scripts/03_modeling/build_receiving_yds_projection_engine.py,26954,Projection/model construction,scripts/03_modeling/build_market_projection_engine.py,docs/player_props_model_notes_updated.md; docs/receiving_yards_workflow.md,KEEP_REFERENCE,Receiving-yards parity reference and imported implementation.,,,
script,scripts/03_modeling/build_receptions_projection_engine.py,19087,Projection/model construction,scripts/03_modeling/build_market_projection_engine.py,docs/player_props_model_notes_updated.md; docs/receptions_workflow.md,KEEP_REFERENCE,Receptions parity reference and imported implementation.,,,
script,scripts/03_modeling/build_rush_yds_projection_engine.py,25682,Projection/model construction,scripts/03_modeling/build_market_projection_engine.py,docs/player_props_model_notes_updated.md,KEEP_REFERENCE,Rushing-yards parity reference and imported implementation.,,,
script,scripts/03_modeling/simulate_pass_yds.py,5485,Model backtest/simulation,scripts/03_modeling/backtest_market_model.py,docs/player_props_model_notes_updated.md,KEEP_REFERENCE,Passing-yards backtest parity reference and imported implementation.,,,
script,scripts/03_modeling/simulate_pass_yds_probs.py,5855,Model backtest/simulation,,,UNKNOWN_REVIEW_MANUALLY,No safe deletion conclusion from static inventory.,,,
script,scripts/04_analysis/analyze_fp_pass_yds_calibration.py,5953,Read-only analysis/diagnostic,,,KEEP_DIAGNOSTIC,Analysis output is reproducible; keep script while investigation remains active.,,,
script,scripts/04_analysis/analyze_market.py,56533,Read-only analysis/diagnostic,,docs/player_props_model_notes_updated.md,KEEP_DIAGNOSTIC,Analysis output is reproducible; keep script while investigation remains active.,,,
script,scripts/04_analysis/analyze_market_results.py,6413,Read-only analysis/diagnostic,,,KEEP_DIAGNOSTIC,Analysis output is reproducible; keep script while investigation remains active.,,,
script,scripts/04_analysis/analyze_pass_yards_context.py,6188,Read-only analysis/diagnostic,,,KEEP_DIAGNOSTIC,Analysis output is reproducible; keep script while investigation remains active.,,,
script,scripts/04_analysis/audit_actuals_sources.py,10166,Read-only analysis/diagnostic,,,KEEP_DIAGNOSTIC,Analysis output is reproducible; keep script while investigation remains active.,,,
script,scripts/04_analysis/audit_projection_sources.py,10481,Read-only analysis/diagnostic,,,KEEP_DIAGNOSTIC,Analysis output is reproducible; keep script while investigation remains active.,,,
script,scripts/04_analysis/diagnose_receiving_yds_interactions.py,13680,Read-only analysis/diagnostic,,,KEEP_DIAGNOSTIC,Analysis output is reproducible; keep script while investigation remains active.,,,
script,scripts/04_analysis/diagnose_receiving_yds_model.py,13487,Read-only analysis/diagnostic,,,KEEP_DIAGNOSTIC,Analysis output is reproducible; keep script while investigation remains active.,,,
script,scripts/04_analysis/eda_filtered.py,4085,Read-only analysis/diagnostic,,,KEEP_DIAGNOSTIC,Analysis output is reproducible; keep script while investigation remains active.,,,
script,scripts/04_analysis/eda_pff.py,10952,Read-only analysis/diagnostic,,,KEEP_DIAGNOSTIC,Analysis output is reproducible; keep script while investigation remains active.,,,
script,scripts/04_analysis/eda_plots.py,5613,Read-only analysis/diagnostic,,,KEEP_DIAGNOSTIC,Analysis output is reproducible; keep script while investigation remains active.,,,
script,scripts/04_analysis/inventory_player_props_cleanup.py,12799,Read-only analysis/diagnostic,,,KEEP_DIAGNOSTIC,Analysis output is reproducible; keep script while investigation remains active.,,,
script,scripts/04_analysis/test_receiving_yds_filters.py,9035,Read-only analysis/diagnostic,,,KEEP_DIAGNOSTIC,Analysis output is reproducible; keep script while investigation remains active.,,,
script,scripts/04_analysis/validate_receiving_yds_filters_by_season.py,12511,Read-only analysis/diagnostic,,,KEEP_DIAGNOSTIC,Analysis output is reproducible; keep script while investigation remains active.,,,
script,scripts/04_analysis/validate_receiving_yds_filters_chrono_split.py,14183,Read-only analysis/diagnostic,,,KEEP_DIAGNOSTIC,Analysis output is reproducible; keep script while investigation remains active.,,,
script,scripts/archive/calibrate_pass_yds_distribution.py,11283,Archived experiment/test utility,,,ARCHIVE_CANDIDATE,Already archived; retain only if past experiment provenance matters.,,,
script,scripts/archive/pass_yds_ev_thresholds.py,2867,Archived experiment/test utility,,,ARCHIVE_CANDIDATE,Already archived; retain only if past experiment provenance matters.,,,
script,scripts/archive/pass_yds_projection_error_penalty.py,3608,Archived experiment/test utility,,,ARCHIVE_CANDIDATE,Already archived; retain only if past experiment provenance matters.,,,
script,scripts/archive/probe_historical_pass_yds_cost.py,1101,Archived experiment/test utility,,,ARCHIVE_CANDIDATE,Already archived; retain only if past experiment provenance matters.,,,
script,scripts/archive/test_fantasypoints_request.py,453,Archived experiment/test utility,,,ARCHIVE_CANDIDATE,Already archived; retain only if past experiment provenance matters.,,,
script,scripts/archive/test_fantasypros_api.py,159,Archived experiment/test utility,,,ARCHIVE_CANDIDATE,Already archived; retain only if past experiment provenance matters.,,,
script,scripts/archive/test_fantasypros_request.py,539,Archived experiment/test utility,,,ARCHIVE_CANDIDATE,Already archived; retain only if past experiment provenance matters.,,,
script,scripts/archive/test_historical_h2h.py,2935,Archived experiment/test utility,,,ARCHIVE_CANDIDATE,Already archived; retain only if past experiment provenance matters.,,,
script,scripts/archive/test_historical_props.py,1689,Archived experiment/test utility,,,ARCHIVE_CANDIDATE,Already archived; retain only if past experiment provenance matters.,,,
script,scripts/archive/test_odds_api_usage.py,564,Archived experiment/test utility,,,ARCHIVE_CANDIDATE,Already archived; retain only if past experiment provenance matters.,,,
script,scripts/cleanup_project_dirs.py,2916,Project utility,,,ARCHIVE_CANDIDATE,One-time project layout utility.,,,
script,scripts/utils/name_utils.py,1366,Project utility,scripts/01_build/build_pass_yds_dataset.py; scripts/01_build/build_pass_yds_dataset_fp.py; scripts/01_build/ingest_fantasypros_projections.py; scripts/01_build/ingest_fantasypros_qb_web.py; scripts/01_build/ingest_fantasypros_receiving_web.py; scripts/01_build/ingest_ffa_projections.py,,UNKNOWN_REVIEW_MANUALLY,No safe deletion conclusion from static inventory.,,,
data_file,data/analysis/actuals_source_audit.csv,5390,Generated/output/cache data,,,UNKNOWN_REVIEW_MANUALLY,Processed/generated artifact; confirm dependency before cleanup.,true,true,false
data_file,data/analysis/backtests/override_min_line_60.csv,104632,Generated/output/cache data,,,ARCHIVE_CANDIDATE,One-off override experiment output.,true,true,false
data_file,data/analysis/backtests/parity_general_backtest/reception_yds_backtest_by_edge_bucket.csv,606,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_general_backtest/reception_yds_backtest_by_ev_bucket.csv,287,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_general_backtest/reception_yds_backtest_by_side.csv,186,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_general_backtest/reception_yds_backtest_rows.csv,318307,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_general_backtest/reception_yds_backtest_summary.csv,179,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_general_pass_backtest/pass_yds_sim_results.csv,172047,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_general_pass_yds_projection.csv,1071,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_general_reception_yds_explicit.csv,792027,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_general_reception_yds_model_bets.csv,792027,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Generated model-candidate output; retain only selected validation evidence.,true,false,false
data_file,data/analysis/backtests/parity_general_receptions_model_bets.csv,36542675,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Generated model-candidate output; retain only selected validation evidence.,true,false,false
data_file,data/analysis/backtests/parity_general_rush_backtest/rush_yds_backtest_by_edge_bucket.csv,388,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_general_rush_backtest/rush_yds_backtest_by_ev_bucket.csv,280,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_general_rush_backtest/rush_yds_backtest_by_side.csv,100,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_general_rush_backtest/rush_yds_backtest_rows.csv,7917,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_general_rush_backtest/rush_yds_backtest_summary.csv,147,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_general_rush_override.csv,259707,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_receiving_after_rush_backtest/reception_yds_backtest_by_edge_bucket.csv,606,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_receiving_after_rush_backtest/reception_yds_backtest_by_ev_bucket.csv,287,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_receiving_after_rush_backtest/reception_yds_backtest_by_side.csv,186,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_receiving_after_rush_backtest/reception_yds_backtest_rows.csv,318307,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_receiving_after_rush_backtest/reception_yds_backtest_summary.csv,179,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_receiving_after_rush_general.csv,792027,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_receiving_after_rush_reference.csv,792027,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_receptions_projections.csv,2037033,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_reference_backtest/reception_yds_backtest_by_edge_bucket.csv,606,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_reference_backtest/reception_yds_backtest_by_ev_bucket.csv,287,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_reference_backtest/reception_yds_backtest_by_side.csv,186,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_reference_backtest/reception_yds_backtest_rows.csv,318307,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_reference_backtest/reception_yds_backtest_summary.csv,179,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_reference_pass_backtest/pass_yds_sim_results.csv,172047,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_reference_pass_yds_projection.csv,1071,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_reference_reception_yds_config_defaults.csv,806412,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_reference_reception_yds_explicit.csv,792027,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_reference_reception_yds_model_bets.csv,792027,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Generated model-candidate output; retain only selected validation evidence.,true,false,false
data_file,data/analysis/backtests/parity_reference_receptions_model_bets.csv,36542675,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Generated model-candidate output; retain only selected validation evidence.,true,false,false
data_file,data/analysis/backtests/parity_reference_rush_backtest/rush_yds_backtest_by_edge_bucket.csv,388,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_reference_rush_backtest/rush_yds_backtest_by_ev_bucket.csv,280,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_reference_rush_backtest/rush_yds_backtest_by_side.csv,100,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_reference_rush_backtest/rush_yds_backtest_rows.csv,7917,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_reference_rush_backtest/rush_yds_backtest_summary.csv,147,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_reference_rush_override.csv,259707,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/parity_reference_rush_yds_model_bets.csv,314614,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Generated model-candidate output; retain only selected validation evidence.,true,false,false
data_file,data/analysis/backtests/receiving_config_filter_general_backtest/reception_yds_backtest_by_edge_bucket.csv,595,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/receiving_config_filter_general_backtest/reception_yds_backtest_by_ev_bucket.csv,289,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/receiving_config_filter_general_backtest/reception_yds_backtest_by_side.csv,187,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/receiving_config_filter_general_backtest/reception_yds_backtest_rows.csv,274431,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/receiving_config_filter_general_backtest/reception_yds_backtest_summary.csv,179,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/receiving_config_filter_general_projection.csv,702901,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,false,false
data_file,data/analysis/backtests/receiving_config_filter_reference_projection.csv,702901,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,false,false
data_file,data/analysis/backtests/receiving_production_experiment_before/reception_yds_backtest_rows.csv,318307,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/receiving_production_experiment_before/reception_yds_backtest_summary.csv,179,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/receiving_production_experiment_before/test_reception_yds_model_bets_api.csv,792027,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/receiving_production_experiment_general_backtest/reception_yds_backtest_by_edge_bucket.csv,595,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/receiving_production_experiment_general_backtest/reception_yds_backtest_by_ev_bucket.csv,289,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/receiving_production_experiment_general_backtest/reception_yds_backtest_by_side.csv,187,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/receiving_production_experiment_general_backtest/reception_yds_backtest_rows.csv,274431,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/receiving_production_experiment_general_backtest/reception_yds_backtest_summary.csv,179,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/receiving_production_experiment_general_projection.csv,702901,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,false,false
data_file,data/analysis/backtests/receiving_production_experiment_reference_backtest/reception_yds_backtest_by_edge_bucket.csv,595,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/receiving_production_experiment_reference_backtest/reception_yds_backtest_by_ev_bucket.csv,289,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/receiving_production_experiment_reference_backtest/reception_yds_backtest_by_side.csv,187,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/receiving_production_experiment_reference_backtest/reception_yds_backtest_rows.csv,274431,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/receiving_production_experiment_reference_backtest/reception_yds_backtest_summary.csv,179,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/receiving_production_experiment_reference_projection.csv,702901,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,false,false
data_file,data/analysis/backtests/reception_yds_backtest_by_edge_bucket.csv,595,Generated/output/cache data,,,KEEP_ACTIVE,Current backtest output location; retain latest validated summaries/rows.,true,true,false
data_file,data/analysis/backtests/reception_yds_backtest_by_ev_bucket.csv,289,Generated/output/cache data,,,KEEP_ACTIVE,Current backtest output location; retain latest validated summaries/rows.,true,true,false
data_file,data/analysis/backtests/reception_yds_backtest_by_side.csv,187,Generated/output/cache data,,,KEEP_ACTIVE,Current backtest output location; retain latest validated summaries/rows.,true,true,false
data_file,data/analysis/backtests/reception_yds_backtest_rows.csv,274431,Generated/output/cache data,,,KEEP_ACTIVE,Current backtest output location; retain latest validated summaries/rows.,true,true,false
data_file,data/analysis/backtests/reception_yds_backtest_summary.csv,179,Generated/output/cache data,,,KEEP_ACTIVE,Current backtest output location; retain latest validated summaries/rows.,true,true,false
data_file,data/analysis/backtests/receptions_backtest_by_edge_bucket.csv,486,Generated/output/cache data,,,DELETE_CANDIDATE,Receptions generalized backtest was intentionally blocked as invalid without stable join keys.,true,true,false
data_file,data/analysis/backtests/receptions_backtest_by_ev_bucket.csv,286,Generated/output/cache data,,,DELETE_CANDIDATE,Receptions generalized backtest was intentionally blocked as invalid without stable join keys.,true,true,false
data_file,data/analysis/backtests/receptions_backtest_by_side.csv,177,Generated/output/cache data,,,DELETE_CANDIDATE,Receptions generalized backtest was intentionally blocked as invalid without stable join keys.,true,true,false
data_file,data/analysis/backtests/receptions_backtest_rows.csv,92992420,Generated/output/cache data,,,DELETE_CANDIDATE,Receptions generalized backtest was intentionally blocked as invalid without stable join keys.,true,false,false
data_file,data/analysis/backtests/receptions_backtest_summary.csv,185,Generated/output/cache data,,,DELETE_CANDIDATE,Receptions generalized backtest was intentionally blocked as invalid without stable join keys.,true,true,false
data_file,data/analysis/backtests/rush_yds_backtest_by_edge_bucket.csv,388,Generated/output/cache data,,,KEEP_ACTIVE,Current backtest output location; retain latest validated summaries/rows.,true,true,false
data_file,data/analysis/backtests/rush_yds_backtest_by_ev_bucket.csv,280,Generated/output/cache data,,,KEEP_ACTIVE,Current backtest output location; retain latest validated summaries/rows.,true,true,false
data_file,data/analysis/backtests/rush_yds_backtest_by_side.csv,100,Generated/output/cache data,,,KEEP_ACTIVE,Current backtest output location; retain latest validated summaries/rows.,true,true,false
data_file,data/analysis/backtests/rush_yds_backtest_rows.csv,7917,Generated/output/cache data,,,KEEP_ACTIVE,Current backtest output location; retain latest validated summaries/rows.,true,true,false
data_file,data/analysis/backtests/rush_yds_backtest_summary.csv,147,Generated/output/cache data,,,KEEP_ACTIVE,Current backtest output location; retain latest validated summaries/rows.,true,true,false
data_file,data/analysis/backtests/validation_after_pass_migration/reception_yds_backtest_by_edge_bucket.csv,606,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/validation_after_pass_migration/reception_yds_backtest_by_ev_bucket.csv,287,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
data_file,data/analysis/backtests/validation_after_pass_migration/reception_yds_backtest_by_side.csv,186,Generated/output/cache data,,,ARCHIVE_CANDIDATE,Validation/experiment evidence; retain outside working outputs if provenance is needed.,true,true,false
