Position,Player,School,Class,Birthdate,Years,Final Age,Combine,Height,Weight,Hand,Arm,Forty,Vert,Broad,Cone,Shuttle
WR,Colbie Young,Georgia,2020,7/24/2002,6,23.5,1,76.8,218,9.5,31.9,4.49,,,,
WR,Skyler Bell,UConn,2021,7/5/2002,5,23.5,1,71.6,192,10,31.9,4.4,41,133,,
WR,Malachi Fields,Notre Dame,2021,7/2/2002,5,23.5,1,76.5,218,9,32.1,4.61,38,124,6.98,4.35
TE,Dan Villari,Syracuse,2020,6/29/2002,6,23.5,0,,,,,,,,,
WR,Michael Wortham,Montana,2021,6/27/2002,5,23.5,0,,,,,,,,,
TE,Michael Trigg,Baylor,2021,6/27/2002,5,23.5,1,76,240,10.5,34.3,,,,,
RB,Kentrel Bullock,South Alabama,2020,3/31/2002,6,23.8,0,,,,,,,,,
QB,Miller Moss,Louisville,2021,3/19/2002,5,23.8,0,,,,,,,,,
RB,J'Mari Taylor,Virginia,2020,3/15/2002,6,23.8,1,70,199,9,30,,34.5,115,,
WR,Kaden Wetjen,Iowa,2020,3/9/2002,6,23.8,1,69,193,8.5,29.6,4.47,,,6.95,4.44
TE,Matthew Hibner,SMU,2020,3/9/2002,6,23.8,1,76,251,9.4,32.4,4.57,37,116,,
WR,Anthony Smith,East Carolina,2020,3/1/2002,6,23.9,0,,,,,,,,,
WR,Kris Hutson,Arizona,2020,2/15/2002,6,23.9,0,,,,,,,,,
QB,Garrett Nussmeier,LSU,2021,2/7/2002,5,23.9,1,74,203,9.1,30.4,,,,,
QB,Behren Morton,Texas Tech,2021,1/17/2002,5,24,1,74,221,9.5,30.6,,,,,
WR,CJ Daniels,Miami,2020,1/4/2002,6,24,1,74,202,9.3,31.8,,,,,
RB,Chip Trayanum,Toledo,2020,1/2/2002,6,24,0,,,,,,,,,
RB,Robert Henry,UTSA,2020,12/31/2001,6,24,1,69,196,9.1,30.1,4.52,37,124,,4.31
WR,Caullin Lacy,Louisville,2020,12/22/2001,6,24,1,69,183,9.9,29.4,4.55,,,,
RB,Kaelon Black,Indiana,2020,10/17/2001,6,24.2,0,,,,,,,,,
QB,Mark Gronowski,Iowa,2020,10/5/2001,6,24.3,0,,,,,,,,,
WR,Bryce Lance,North Dakota State,2021,9/20/2001,5,24.3,1,75,204,9.3,32.1,4.34,,,7,4.15
TE,Nate Boerkircher,Texas A&M,2020,9/4/2001,6,24.3,1,76.5,245,10.5,32.6,,,,,4.4
WR,Tyren Montgomery,John Carroll,2019,7/3/2001,7,24.5,0,,,,,,,,,
WR,Devin Voisin,South Alabama,2019,6/22/2001,7,24.5,0,,,,,,,,,
RB,Noah Whittington,Oregon,2020,5/26/2001,6,24.6,1,68,205,8.3,29.1,,,,,
QB,Diego Pavia,Vanderbilt,2020,4/30/2001,6,24.7,1,70,207,9.6,28.6,,,,,
RB,Dom Richardson,Tulsa,2020,4/12/2001,6,24.7,0,,,,,,,,,
QB,Joe Fagnano,UConn,2019,3/31/2001,7,24.8,1,75,226,9.3,31.4,4.83,35,118,,4.35
WR,Jeff Caldwell,Cincinnati,2021,3/5/2001,5,24.8,1,77,216,9.8,32.6,4.31,42,134,,
WR,Chase Roberts,BYU,2019,1/21/2001,7,25,1,75,209,9.8,31.8,4.64,,,,
QB,Haynes King,Georgia Tech,2020,1/9/2001,6,25,1,74,212,9,31.9,4.46,33.5,116,6.89,4.17
TE,Dallen Bentley,Utah,2019,1/1/2001,7,25,1,76,253,9.3,33.1,4.62,35,118,,4.42
WR,Nick DeGennaro,JMU,2020,12/29/2000,6,25,0,,,,,,,,,
RB,Seth McGowan,Kentucky,2020,10/17/2000,6,25.2,1,72,223,8.8,31.4,4.49,42.5,131,,4.5
RB,Rahsul Faison,South Carolina,2019,2/20/2000,7,25.9,1,71,208,9,30.9,,37.5,122,,
WR,Cyrus Allen,Cincinnati,2021,,5,,0,,,,,,,,,
WR,Keelan Marion,Miami,2019,,7,,0,,,,,,,,,
WR,Lewis Bond,Boston College,2021,,5,,0,,,,,,,,,
WR,Romello Brinson,SMU,2021,,5,,0,,,,,,,,,
RB,Kejon Owens,FIU,2020,,6,,0,,,,,,,,,
TE,John Michael Gyllenborg,Wyoming,2021,,5,,1,77.8,249,10,31,4.6,35.5,128,,4.22
TE,Joe Royer,Cincinnati,2020,,6,,1,77,247,10.8,31.5,,,,,
TE,Tanner Koziol,Houston,2021,,5,,1,78.5,247,9.8,33.8,4.7,36.5,122,,
TE,Jack Velling,Michigan State,2022,,4,,0,,,,,,,,,
TE,Riley Nowakowski,Indiana,2020,,6,,1,74,250,8.8,31.5,4.66,33,120,,
TE,DJ Rogers,TCU,2020,,6,,1,76,258,9.5,33.6,,,,,
TE,Bauer Sharp,LSU,2021,,5,,1,77,249,9.8,31.8,4.63,35,120,,
TE,Khalil Dinkins,Penn State,2021,,5,,1,76.3,251,9.5,31.6,4.72,32.5,119,7.28,4.33
