sportsbook,source,event_id,commence_time,home_team,away_team,player,player_normalized,market,line,side,price,captured_at,captured_at_source,season,week,is_alternate,market_source_key,outcome_description,raw_file,source_event_index,source_market_index,source_outcome_index,bookmaker_key,bookmaker_title,last_update,market_last_update,point_raw,price_raw
fanduel,odds_api,event_det_gb,2026-09-06T17:00:00Z,Green Bay Packers,Detroit Lions,Jahmyr Gibbs,jahmyr gibbs,player_rush_yds,68.5,over,-105,2026-09-01T13:00:00-04:00,filename,2026,1,False,player_rush_yds,Jahmyr Gibbs,data/raw/odds/odds_api/2026/week_01/snapshots/20260901T130000_sample_odds_snapshot.json,0,2,0,fanduel,FanDuel,2026-09-01T16:59:30Z,2026-09-01T16:59:33Z,68.5,-105
fanduel,odds_api,event_det_gb,2026-09-06T17:00:00Z,Green Bay Packers,Detroit Lions,Jahmyr Gibbs,jahmyr gibbs,player_rush_yds,68.5,under,-115,2026-09-01T13:00:00-04:00,filename,2026,1,False,player_rush_yds,Jahmyr Gibbs,data/raw/odds/odds_api/2026/week_01/snapshots/20260901T130000_sample_odds_snapshot.json,0,2,1,fanduel,FanDuel,2026-09-01T16:59:30Z,2026-09-01T16:59:33Z,68.5,-115
fanduel,odds_api,event_kc_lv,2026-09-07T00:20:00Z,Kansas City Chiefs,Las Vegas Raiders,Rashee Rice,rashee rice,player_reception_yds,54.5,over,100,2026-09-01T13:00:00-04:00,filename,2026,1,False,player_reception_yds,Rashee Rice,data/raw/odds/odds_api/2026/week_01/snapshots/20260901T130000_sample_odds_snapshot.json,1,0,0,fanduel,FanDuel,2026-09-01T16:59:40Z,2026-09-01T16:59:41Z,54.5,100
fanduel,odds_api,event_kc_lv,2026-09-07T00:20:00Z,Kansas City Chiefs,Las Vegas Raiders,Rashee Rice,rashee rice,player_reception_yds,54.5,under,-122,2026-09-01T13:00:00-04:00,filename,2026,1,False,player_reception_yds,Rashee Rice,data/raw/odds/odds_api/2026/week_01/snapshots/20260901T130000_sample_odds_snapshot.json,1,0,1,fanduel,FanDuel,2026-09-01T16:59:40Z,2026-09-01T16:59:41Z,54.5,-122
fanduel,odds_api,event_kc_lv,2026-09-07T00:20:00Z,Kansas City Chiefs,Las Vegas Raiders,Rashee Rice,rashee rice,player_receptions,4.5,over,-130,2026-09-01T13:00:00-04:00,filename,2026,1,False,player_receptions,Rashee Rice,data/raw/odds/odds_api/2026/week_01/snapshots/20260901T130000_sample_odds_snapshot.json,1,1,0,fanduel,FanDuel,2026-09-01T16:59:40Z,2026-09-01T16:59:42Z,4.5,-130
fanduel,odds_api,event_kc_lv,2026-09-07T00:20:00Z,Kansas City Chiefs,Las Vegas Raiders,Rashee Rice,rashee rice,player_receptions,4.5,under,104,2026-09-01T13:00:00-04:00,filename,2026,1,False,player_receptions,Rashee Rice,data/raw/odds/odds_api/2026/week_01/snapshots/20260901T130000_sample_odds_snapshot.json,1,1,1,fanduel,FanDuel,2026-09-01T16:59:40Z,2026-09-01T16:59:42Z,4.5,104
fanduel,odds_api,event_kc_lv,2026-09-07T00:20:00Z,Kansas City Chiefs,Las Vegas Raiders,Rashee Rice,rashee rice,player_reception_yds,39.5,over,-180,2026-09-01T13:00:00-04:00,filename,2026,1,True,player_reception_yds_alternate,Rashee Rice,data/raw/odds/odds_api/2026/week_01/snapshots/20260901T130000_sample_odds_snapshot.json,1,2,0,fanduel,FanDuel,2026-09-01T16:59:40Z,2026-09-01T16:59:43Z,39.5,-180
fanduel,odds_api,event_kc_lv,2026-09-07T00:20:00Z,Kansas City Chiefs,Las Vegas Raiders,Rashee Rice,rashee rice,player_reception_yds,39.5,under,145,2026-09-01T13:00:00-04:00,filename,2026,1,True,player_reception_yds_alternate,Rashee Rice,data/raw/odds/odds_api/2026/week_01/snapshots/20260901T130000_sample_odds_snapshot.json,1,2,1,fanduel,FanDuel,2026-09-01T16:59:40Z,2026-09-01T16:59:43Z,39.5,145
fanduel,odds_api,event_kc_lv,2026-09-07T00:20:00Z,Kansas City Chiefs,Las Vegas Raiders,Rashee Rice,rashee rice,player_reception_yds,69.5,over,165,2026-09-01T13:00:00-04:00,filename,2026,1,True,player_reception_yds_alternate,Rashee Rice,data/raw/odds/odds_api/2026/week_01/snapshots/20260901T130000_sample_odds_snapshot.json,1,2,2,fanduel,FanDuel,2026-09-01T16:59:40Z,2026-09-01T16:59:43Z,69.5,165
fanduel,odds_api,event_kc_lv,2026-09-07T00:20:00Z,Kansas City Chiefs,Las Vegas Raiders,Rashee Rice,rashee rice,player_reception_yds,69.5,under,-210,2026-09-01T13:00:00-04:00,filename,2026,1,True,player_reception_yds_alternate,Rashee Rice,data/raw/odds/odds_api/2026/week_01/snapshots/20260901T130000_sample_odds_snapshot.json,1,2,3,fanduel,FanDuel,2026-09-01T16:59:40Z,2026-09-01T16:59:43Z,69.5,-210
